0¦SELF¦1581416597619¦1581416597619¦1581416598502¦1581416597619¦1581416597619¦1581416597619¦h¦Vlad10,Adam;¦ ⁰h¦h¦
0¦OTHER¦1581416597671¦1581416598385¦1581416599266¦1581416597671¦1581416598385¦1581416598385¦s of pe¦Vlad10,Adam;¦ ⁰s ⁹⁰  ²³⁷o ¹f ⁹⁹  ²⁰⁶p ⁸¹e¦s of pe¦
0¦SELF¦1581416598801¦1581416598801¦1581416599682¦1581416598801¦1581416598801¦1581416598801¦e¦Vlad10,Adam;¦ ⁰e¦e¦
0¦OTHER¦1581416598806¦1581416598806¦1581416599728¦1581416598806¦1581416598806¦1581416598806¦o¦Vlad10,Adam;¦ ⁰o¦o¦
0¦SELF¦1581416598951¦1581416598951¦1581416599832¦1581416598951¦1581416598951¦1581416598951¦ ¦Vlad10,Adam;¦ ⁰ ¦ ¦
0¦OTHER¦1581416598957¦1581416599135¦1581416600016¦1581416598957¦1581416599135¦1581416599135¦pl¦Vlad10,Adam;¦ ⁰p ¹⁷⁸l¦pl¦
0¦SELF¦1581416599136¦1581416599136¦1581416600017¦1581416599136¦1581416599136¦1581416599136¦i¦Vlad10,Adam;¦ ⁰i¦i¦
0¦OTHER¦1581416599231¦1581416599231¦1581416600113¦1581416599231¦1581416599231¦1581416599231¦e¦Vlad10,Adam;¦ ⁰e¦e¦
0¦SELF¦1581416599252¦1581416599252¦1581416600134¦1581416599252¦1581416599252¦1581416599252¦s¦Vlad10,Adam;¦ ⁰s¦s¦
0¦OTHER¦1581416599300¦1581416599300¦1581416600183¦1581416599300¦1581416599300¦1581416599300¦ ¦Vlad10,Adam;¦ ⁰ ¦ ¦
0¦SELF¦1581416599479¦1581416599479¦1581416600360¦1581416599479¦1581416599479¦1581416599479¦ ¦Vlad10,Adam;¦ ⁰ ¦ ¦
0¦OTHER¦1581416599492¦1581416599718¦1581416600600¦1581416599492¦1581416599718¦1581416599718¦ins¦Vlad10,Adam;¦ ⁰i ¹¹¹n ¹¹⁵s¦ins¦
0¦SELF¦1581416599801¦1581416599801¦1581416600682¦1581416599801¦1581416599801¦1581416599801¦a¦Vlad10,Adam;¦ ⁰a¦a¦
0¦OTHER¦1581416599830¦1581416599905¦1581416600787¦1581416599830¦1581416599905¦1581416599906¦te¦Vlad10,Adam;¦ ⁰t ⁷⁵e¦te¦
0¦SELF¦1581416599971¦1581416599971¦1581416600852¦1581416599971¦1581416599971¦1581416599971¦t¦Vlad10,Adam;¦ ⁰t¦t¦
0¦OTHER¦1581416599981¦1581416599981¦1581416600862¦1581416599981¦1581416599981¦1581416599981¦a¦Vlad10,Adam;¦ ⁰a¦a¦
0¦SELF¦1581416600084¦1581416600084¦1581416600965¦1581416600084¦1581416600084¦1581416600084¦ ¦Vlad10,Adam;¦ ⁰ ¦ ¦
0¦OTHER¦1581416600135¦1581416600135¦1581416601016¦1581416600135¦1581416600135¦1581416600135¦d¦Vlad10,Adam;¦ ⁰d¦d¦
